config_A,config_B,A_correct_B_wrong,A_wrong_B_correct,p_value
BulkFormer_LogReg,BulkFormer_XGBoost,6,2,0.2890625
BulkFormer_LogReg,EarlyFusion_SVM,3,7,0.34375
BulkFormer_SVM,LateFusion_Avg_SVM,7,3,0.34375
BulkFormer_SVM,LateFusion_Learned_XGBoost,7,3,0.34375
LateFusion_Learned_LogReg,LateFusion_Learned_SVM,4,1,0.375
LateFusion_Avg_SVM,LateFusion_Learned_SVM,2,5,0.453125
EarlyFusion_SVM,LateFusion_Learned_SVM,5,2,0.453125
BulkFormer_XGBoost,LateFusion_Avg_LogReg,12,8,0.5034446716308594
CpGPT_LogReg,CpGPT_SVM,25,31,0.5040358664525046
LateFusion_Learned_SVM,LateFusion_Learned_XGBoost,7,4,0.548828125
BulkFormer_LogReg,EarlyFusion_LogReg,4,7,0.548828125
BulkFormer_XGBoost,LateFusion_Learned_XGBoost,1,3,0.625
BulkFormer_SVM,LateFusion_Learned_LogReg,1,3,0.625
BulkFormer_LogReg,BulkFormer_SVM,2,4,0.6875
EarlyFusion_XGBoost,LateFusion_Avg_LogReg,14,17,0.7194375444233914
BulkFormer_LogReg,LateFusion_Learned_XGBoost,6,4,0.75390625
BulkFormer_SVM,EarlyFusion_SVM,4,6,0.75390625
EarlyFusion_LogReg,LateFusion_Learned_SVM,6,4,0.75390625
BulkFormer_LogReg,LateFusion_Avg_SVM,7,5,0.7744140625
BulkFormer_XGBoost,LateFusion_Avg_SVM,7,9,0.803619384765625
EarlyFusion_LogReg,EarlyFusion_SVM,3,4,1.0
BulkFormer_SVM,EarlyFusion_LogReg,5,6,1.0
LateFusion_Avg_SVM,LateFusion_Learned_XGBoost,7,7,1.0
EarlyFusion_LogReg,LateFusion_Learned_LogReg,5,6,1.0
BulkFormer_LogReg,LateFusion_Learned_SVM,2,3,1.0
BulkFormer_SVM,LateFusion_Learned_SVM,3,2,1.0
EarlyFusion_SVM,LateFusion_Learned_LogReg,4,4,1.0
