Model,Accuracy,F1 Score,AUC-ROC
BulkFormer only,0.989 ± 0.005,0.989 ± 0.005,1.000 ± 0.000
CpGPT only,0.812 ± 0.036,0.812 ± 0.037,0.964 ± 0.010
Early Fusion,0.986 ± 0.006,0.986 ± 0.006,1.000 ± 0.000
Late Fusion,0.979 ± 0.015,0.979 ± 0.015,0.999 ± 0.001
Deep Fusion (Autoencoder),0.968 ± 0.007,0.968 ± 0.007,0.999 ± 0.001
