epoch,train_loss,val_loss
1,1.9346928536891936,1.3736710786819457
2,1.2956667721271515,0.9645602941513062
3,1.0407524317502976,0.8271793007850647
4,0.9364719659090042,0.7506431221961976
5,0.8543811231851578,0.6814737319946289
6,0.7989994287490845,0.6344532489776611
7,0.7450793713331223,0.5928121209144592
8,0.7232306063175201,0.5659116864204407
9,0.6713068276643753,0.5323938727378845
10,0.6475443512201309,0.5090297341346741
11,0.6249855667352676,0.4999602138996124
12,0.6196565061807633,0.47709864377975464
13,0.583147194981575,0.4644084572792053
14,0.5740855067968369,0.44534350037574766
15,0.5788621187210083,0.4442096948623657
16,0.5442428976297379,0.4244335532188416
17,0.5451937705278397,0.4138473093509674
18,0.53696269094944,0.41077982187271117
19,0.5237427607178688,0.3976836442947388
20,0.5136911615729332,0.3914287269115448
21,0.4956560552120209,0.3921708345413208
22,0.4702932327985764,0.3835774600505829
23,0.4891215726733208,0.3802900195121765
24,0.48317001909017565,0.37697343826293944
25,0.4961661845445633,0.369338846206665
26,0.47292440086603166,0.3669122338294983
27,0.45754541307687757,0.3648796439170837
28,0.4653854086995125,0.35860906839370726
29,0.4464620530605316,0.3516412258148193
30,0.44334127604961393,0.34578688740730285
31,0.4432596623897552,0.3449727714061737
32,0.45307757556438444,0.345887279510498
33,0.43333635330200193,0.33959382176399233
34,0.42064602822065356,0.3368163168430328
35,0.42103960663080214,0.3354914963245392
36,0.4327017664909363,0.3310015082359314
37,0.4390754133462906,0.33377438187599184
38,0.4208853468298912,0.33045612573623656
39,0.40213012546300886,0.3298675239086151
40,0.41569537222385405,0.3230717182159424
41,0.41595484912395475,0.3230928421020508
42,0.41827915608882904,0.32256975769996643
43,0.4178428083658218,0.3209636569023132
44,0.3965431064367294,0.3122494280338287
45,0.4056693360209465,0.3156058847904205
46,0.4122744545340538,0.31415953040122985
47,0.40975804477930067,0.3130674183368683
48,0.39700290411710737,0.3131063222885132
49,0.3940379127860069,0.30549400448799136
50,0.37586545795202253,0.30700057148933413
51,0.40501733124256134,0.3092201888561249
52,0.384740287065506,0.3023772180080414
53,0.3890029937028885,0.30599364042282107
54,0.38166811913251875,0.3021582841873169
55,0.3771912887692451,0.2941943645477295
56,0.38283461332321167,0.3044388949871063
57,0.3793091669678688,0.29695826172828677
58,0.3722210854291916,0.29441468715667723
59,0.3888061434030533,0.29934709072113036
60,0.3733298748731613,0.29350340366363525
61,0.38514943420886993,0.2946645498275757
62,0.36691264510154725,0.2932274997234344
63,0.359773550927639,0.29207744598388674
64,0.3682895451784134,0.292890739440918
65,0.38917189836502075,0.28976860642433167
66,0.3654511794447899,0.29033241868019105
67,0.3568109780550003,0.28908764719963076
68,0.369991609454155,0.28698019981384276
69,0.36628003120422364,0.29293349385261536
70,0.3667329058051109,0.28613790273666384
71,0.3675741940736771,0.2873797953128815
72,0.34945846945047376,0.28336706161499026
73,0.3809007167816162,0.28624802827835083
74,0.35343860536813737,0.28133838772773745
75,0.3457870587706566,0.28699859976768494
76,0.3595622584223747,0.2802941560745239
77,0.36859730035066607,0.28214929103851316
78,0.36875942051410676,0.28977327346801757
79,0.355549219250679,0.2818426966667175
80,0.35484190583229064,0.28551138043403623
81,0.34021536707878114,0.27737575173377993
82,0.34493953436613084,0.28315569162368776
83,0.33965971022844316,0.28243002891540525
84,0.3629679799079895,0.27816983461380007
85,0.3411307170987129,0.2810212314128876
86,0.3409147173166275,0.2758866727352142
87,0.35270264744758606,0.27679301500320436
88,0.3322674572467804,0.28058515191078187
89,0.3384650766849518,0.2793047070503235
90,0.34338349252939226,0.2791120111942291
91,0.3376276656985283,0.2758786499500275
92,0.3401214569807053,0.2734537661075592
93,0.34066060483455657,0.27630693316459654
94,0.35097004622220995,0.27499651312828066
95,0.3498926267027855,0.2737944066524506
96,0.34239490926265714,0.27344731092453
97,0.3365732550621033,0.2715683341026306
98,0.3302243798971176,0.2675987720489502
99,0.33088492751121523,0.2721800923347473
100,0.33493357747793195,0.266315895318985
101,0.3506450906395912,0.27442416548728943
102,0.32498627752065656,0.27320656180381775
103,0.3425365015864372,0.2671605467796326
104,0.3326977103948593,0.2696499049663544
105,0.32963854968547823,0.2659941613674164
106,0.33296841382980347,0.26887500286102295
107,0.3450229063630104,0.27146310210227964
108,0.32732838243246076,0.2688130259513855
109,0.3309966802597046,0.27344239354133604
110,0.34836249947547915,0.2686538577079773
111,0.32840302735567095,0.26653478145599363
112,0.32550458759069445,0.26522705554962156
113,0.33934598714113234,0.2659798443317413
114,0.32919438630342485,0.26394249200820924
115,0.32396678775548937,0.26691514253616333
116,0.32466561794281007,0.2666988015174866
117,0.3252171494066715,0.26661671996116637
118,0.32793274223804475,0.26496764421463015
119,0.3298319071531296,0.2648866534233093
120,0.31609887033700945,0.2631364822387695
121,0.321117602288723,0.26356119513511655
122,0.3214792385697365,0.262933748960495
123,0.31255065351724626,0.26463898420333865
124,0.3257420226931572,0.26762970685958865
125,0.31330516934394836,0.2645699501037598
126,0.323516471683979,0.26313013434410093
127,0.3109666034579277,0.26085656583309175
128,0.31656979098916055,0.2604431450366974
129,0.32268690764904023,0.2634051203727722
130,0.3212774932384491,0.26290673911571505
131,0.3078477181494236,0.26028683185577395
132,0.3152603432536125,0.260790091753006
133,0.31324842274188996,0.2602506220340729
134,0.3162070155143738,0.25810919106006625
135,0.3198332205414772,0.257265168428421
136,0.31743460819125174,0.2602689415216446
137,0.31135563254356385,0.26096428036689756
138,0.29266939759254457,0.2583423227071762
139,0.30341549813747404,0.2561169475317001
140,0.31734944730997083,0.2586645483970642
141,0.316671022772789,0.261322146654129
142,0.3187496706843376,0.26148773431777955
143,0.30792577266693116,0.2563318908214569
144,0.3189897730946541,0.25707975327968596
145,0.3071997806429863,0.2613091588020325
146,0.3039163500070572,0.2581658184528351
147,0.30138385444879534,0.2613536655902863
148,0.3162055671215057,0.26299684643745425
149,0.30645088851451874,0.26115094423294066
150,0.3131423324346542,0.2575309544801712
151,0.31008257865905764,0.2568769633769989
152,0.31684470772743223,0.26212126612663267
153,0.3149516835808754,0.25551682710647583
154,0.3064128890633583,0.2531286656856537
155,0.30778094828128816,0.2543133139610291
156,0.311200712621212,0.2558088004589081
157,0.31000302731990814,0.2563779950141907
158,0.3062870591878891,0.2579442858695984
159,0.2963696181774139,0.25874934792518617
160,0.29722290858626366,0.256674599647522
161,0.3189981818199158,0.2561447203159332
162,0.2992801159620285,0.25260548293590546
163,0.3150865286588669,0.25254046022891996
164,0.3090075358748436,0.2596463054418564
165,0.3026238076388836,0.25349535048007965
166,0.3092939019203186,0.2522245019674301
167,0.31283787339925767,0.25681388974189756
168,0.3045932248234749,0.25476842522621157
169,0.2942203812301159,0.2569588541984558
170,0.3193493619561195,0.2535158574581146
171,0.3057166151702404,0.2527089238166809
172,0.3084819719195366,0.2555512249469757
173,0.30234594643116,0.25307376980781554
174,0.30952457785606385,0.25329943001270294
