,precision,recall,f1-score,support
TCGA-BRCA,0.9774436090225563,0.9701492537313433,0.9737827715355806,134.0
TCGA-COAD,1.0,0.9774436090225563,0.9885931558935361,133.0
TCGA-KIRC,0.9632352941176471,0.9849624060150376,0.9739776951672863,133.0
TCGA-LIHC,1.0,0.9924812030075187,0.9962264150943396,133.0
TCGA-LUAD,0.9416058394160584,0.9626865671641791,0.9520295202952029,134.0
TCGA-THCA,0.9772727272727273,0.9699248120300752,0.9735849056603774,133.0
accuracy,0.97625,0.97625,0.97625,0.97625
macro avg,0.976592911638165,0.9762746418284517,0.9763657439410539,800.0
weighted avg,0.9765502411696176,0.97625,0.9763320949459896,800.0
