baseline,classifier,evaluation,fold,n_train,n_test,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,auc_ovr_macro
MOFA+,XGBoost,strict train-fold MOFA + held-out projection,1,640,160,0.98125,0.981345682927259,0.9812350529834575,0.9820954907161803,0.9812440645773979,0.9998607630186577
MOFA+,XGBoost,strict train-fold MOFA + held-out projection,2,640,160,0.98125,0.9812440645773979,0.98125,0.9812440645773979,0.9812440645773979,0.9995344513215684
MOFA+,XGBoost,strict train-fold MOFA + held-out projection,3,640,160,0.98125,0.9814645231311898,0.9812328296703298,0.9823329076202639,0.9814814814814815,0.9987932794950338
MOFA+,XGBoost,strict train-fold MOFA + held-out projection,4,640,160,0.95625,0.9562851273635588,0.9563420097059803,0.9576076328949892,0.9560778727445394,0.9990560739775195
MOFA+,XGBoost,strict train-fold MOFA + held-out projection,5,640,160,0.98125,0.9813456829272589,0.9813529775117594,0.9823329076202639,0.9812440645773979,0.9994737849215461
