project,case_id,rna_file_id,rna_file_name,meth_file_id,meth_file_name
TCGA-BRCA,0685edd2-ce1c-4e0e-8dda-393139af4223,7806768a-e8c6-48b0-a241-c036c230e78b,341e11ea-c1b6-4d66-999c-76ebb9c8b342.rna_seq.augmented_star_gene_counts.tsv,674f5b42-cf87-42a1-ab56-47adb158f615,ca6feb7c-3c36-47c2-a6d7-86a7ccabd570.methylation_array.sesame.level3betas.txt
TCGA-BRCA,06ef6e83-5583-45b9-a0bd-edea68943083,cd002ab8-a52b-4d20-9089-11b3e1dbaeb7,597c71b0-5c49-409d-84ff-cc31b185c620.rna_seq.augmented_star_gene_counts.tsv,ecd24ef9-d0f1-4e07-ae5b-c731f605d66a,228e17a9-9761-4dd2-9e99-775da7045ff1.methylation_array.sesame.level3betas.txt
TCGA-BRCA,0741b5db-4405-42ba-b63a-c6ee4f341480,891873c8-bb26-4215-9281-a79be2651f11,c9dffad1-99e8-40b8-8954-1e50b98a1a55.rna_seq.augmented_star_gene_counts.tsv,093dadb3-730a-400e-bdde-fd78324621ce,eb34920a-abd0-4211-9893-378b32ff9716.methylation_array.sesame.level3betas.txt
TCGA-BRCA,074e8b06-3929-4896-9263-3b80ad6a355b,2abc5233-1389-4efb-ba21-de05251ab25a,b31c9e1c-be79-4264-81a3-40b67f1f0bde.rna_seq.augmented_star_gene_counts.tsv,a352f2b1-8db3-4f62-b12a-c7ae181bc29d,1bbe14ae-7f29-4722-9252-f192c86ccfb1.methylation_array.sesame.level3betas.txt
TCGA-BRCA,0772cdbe-8b0d-452b-8df1-bd70d1306363,7c89d4dc-cccb-4833-9731-be8affb76c89,9053485e-19f7-4d2b-b4b6-361d908cc708.rna_seq.augmented_star_gene_counts.tsv,17192c3d-8be3-4694-b0e9-0214cb8d3ebd,0dcf8668-dfc5-4113-a170-307821ac9c03.methylation_array.sesame.level3betas.txt
TCGA-BRCA,077506ea-8f11-405d-bb8e-3c9924fe54d0,3844ac53-a01f-41f1-a3f3-d9decf12d024,cff71f50-9056-40dd-b358-0de3e079cad0.rna_seq.augmented_star_gene_counts.tsv,00640589-db82-485f-aec9-8ffde073fb42,8d1313bd-dd32-4020-b7d1-60f6fa40dc5b.methylation_array.sesame.level3betas.txt
TCGA-BRCA,08306ede-e74b-4be9-b768-7fd98647b6ac,a73c6624-c462-4c25-94bf-58769257c6dc,34a0c8c5-8086-4f33-9ecb-7518035a4a7f.rna_seq.augmented_star_gene_counts.tsv,bb3770ad-170a-48aa-b149-ad7a59939741,4db079e5-e123-4eae-a320-537c59b1863e.methylation_array.sesame.level3betas.txt
TCGA-BRCA,08740d7f-5a5e-4dfa-bd48-7fbf228a7a28,1737104f-367e-4098-a068-12f8ece492bf,b4a9422c-ed5b-435f-aa13-e8a8f2484e97.rna_seq.augmented_star_gene_counts.tsv,3c8c2630-4f4c-467f-b612-c90049d162ed,d6ed5894-0173-42d3-ac09-8107a8a241a2.methylation_array.sesame.level3betas.txt
TCGA-BRCA,08da7c4c-3067-4bcf-9d7a-78566df72e69,6c908d24-e571-436a-9a06-705c294ba5d7,9ba7cd75-a96c-4220-9f57-c9f0fb545a95.rna_seq.augmented_star_gene_counts.tsv,08a155ed-dcb7-454e-aa78-c6bdd6107c1e,3da8ca12-63d7-44a7-bece-ba1ee8c74b42.methylation_array.sesame.level3betas.txt
TCGA-BRCA,08de63a2-7b76-43c3-80dc-df748b1d81bc,19520ee7-658f-4e16-8a24-291beed9f0af,40a31ab3-71fa-4f7b-a3b1-22e15ff0f358.rna_seq.augmented_star_gene_counts.tsv,b9626080-63e9-420e-b1de-33c83cd008cf,53717670-c753-4fde-8aeb-409cab84e26b.methylation_array.sesame.level3betas.txt
TCGA-BRCA,0930e97a-72ea-4bd5-b2f0-50c76af695f3,1a000feb-3b71-4f95-8b39-68ec25b64d96,30a67cbd-940c-40c4-9f86-a8ba9fe63177.rna_seq.augmented_star_gene_counts.tsv,7990d9e7-ff65-4072-9d89-826fa7bc50f8,5a4d347e-de1d-460d-aedd-aba939fadf8b.methylation_array.sesame.level3betas.txt
